video_id,url,language,thumbnail_found,mean_saturation,mean_luminance,saturation_std,luminance_std,mean_hue,red_ratio,blue_ratio,yellow_ratio,text_overlay,n_text_chars,text_cell_ratio,contrast_score,h_line_score,text_overlay_proxy
tZHVXqAkp6E,https://www.youtube.com/watch?v=tZHVXqAkp6E,russian,0,,,,,,,,,,,,,,
HXVORQAiQ5c,https://www.youtube.com/watch?v=HXVORQAiQ5c,russian,0,,,,,,,,,,,,,,
XHeRLTLGsoA,https://www.youtube.com/watch?v=XHeRLTLGsoA,other,1,91.67445023148149,77.47123842592593,89.65032311805848,66.01009072758839,86.2245138888889,0.3386979166666666,0.0316319444444444,0.0102835648148148,,,0.0,0.3835,0.8345,0.0
uXAtWZ7RNAc,https://www.youtube.com/watch?v=uXAtWZ7RNAc,english,1,63.95324110243055,181.67226128472225,93.4270557848453,68.45374636317544,32.43174153645833,0.1758268229166666,0.0803493923611111,0.0272178819444444,,,0.125,0.734,1.0098,0.0
QXglaxD5fag,https://www.youtube.com/watch?v=QXglaxD5fag,russian,1,102.39647786458332,166.2515158420139,103.84339032901956,86.23144748371743,42.34044921875,0.013876953125,0.0438031684027777,0.116650390625,,,0.2083,0.7734,0.2922,0.0
zncjz5HuQmo,https://www.youtube.com/watch?v=zncjz5HuQmo,kyrgyz,1,158.10763671875,96.05053602430556,52.72286487197941,49.41258189025985,128.62512478298612,0.0252289496527777,0.556982421875,0.0,,,0.2083,0.373,0.0,0.0
xadxg5GdDHo,https://www.youtube.com/watch?v=xadxg5GdDHo,other,1,192.67145616319445,223.01924913194443,69.44179205848965,56.7721572716457,79.41240125868056,0.0890744357638888,0.3474175347222222,0.1785167100694444,,,0.125,0.6003,0.515,0.0
RJJ3j1dfD8s,https://www.youtube.com/watch?v=RJJ3j1dfD8s,russian,1,174.06287543402777,153.95883572048612,77.19734204445388,76.29844183112782,66.96522026909722,0.1472981770833333,0.0111024305555555,0.1421256510416666,,,0.1458,0.6195,0.7286,0.0
5yvC5VtwgqI,https://www.youtube.com/watch?v=5yvC5VtwgqI,russian,1,59.078441840277776,71.31556098090277,54.25885399700831,52.44751267264106,64.18778971354166,0.4077669270833333,0.0083463541666666,0.0051095920138888,,,0.0208,0.401,0.1377,0.0
EbTK_tle0KM,https://www.youtube.com/watch?v=EbTK_tle0KM,other,1,99.14535807291666,142.60535481770833,86.6299271683111,80.86990379367651,38.14653537326389,0.1256749131944444,0.0318489583333333,0.1021766493055555,,,0.125,0.6516,0.3438,0.0
JVtJbWeIU68,https://www.youtube.com/watch?v=JVtJbWeIU68,english,1,104.3258083767361,205.58931749131943,78.49612522607437,60.87969927738224,69.497578125,0.2864637586805555,0.2105826822916666,0.119462890625,,,0.375,0.6876,0.3391,1.0
r7bJyF4uyrQ,https://www.youtube.com/watch?v=r7bJyF4uyrQ,other,1,71.72798394097222,94.84557183159724,57.45626072953736,65.95323145859821,61.39094401041667,0.1102799479166666,0.225634765625,0.0509244791666666,,,0.2917,0.5061,0.3958,0.0
gtTPHqB4dHc,https://www.youtube.com/watch?v=gtTPHqB4dHc,russian,1,152.409248046875,225.71167209201388,77.71363971618604,60.668110831984784,32.289652777777775,0.1350835503472222,0.0321896701388888,0.5526909722222222,,,0.1458,0.7745,0.4213,0.0
hM9baCy5p2M,https://www.youtube.com/watch?v=hM9baCy5p2M,english,1,96.33516167534722,129.89423828125,66.28903762223646,80.44268660573026,107.98454752604168,0.5719943576388888,0.0143023003472222,0.0173361545138888,,,0.5417,0.615,0.1655,1.0
dDwL_P9A5D4,https://www.youtube.com/watch?v=dDwL_P9A5D4,russian,1,145.65560546875,169.19186740451389,68.0055659171031,62.49722882785475,51.66704535590278,0.6023936631944444,0.3099153645833333,0.0368587239583333,,,0.0625,0.5104,0.4583,0.0
Tq_Fcq-yPVU,https://www.youtube.com/watch?v=Tq_Fcq-yPVU,english,1,158.6295583767361,173.77498589409723,74.83365916230525,45.77570474036197,41.365552300347225,0.0585026041666666,0.0041937934027777,0.0431477864583333,,,0.0625,0.5727,1.5914,0.0
Pm2YPsR5EDo,https://www.youtube.com/watch?v=Pm2YPsR5EDo,russian,1,71.97317491319444,181.2232204861111,67.82113525752557,59.27397102014109,34.49260525173611,0.3518250868055556,0.0113031684027777,0.0249674479166666,,,0.1667,0.6694,0.4583,0.0
Q6NNOI2z54g,https://www.youtube.com/watch?v=Q6NNOI2z54g,kyrgyz,1,131.81694878472223,184.3613368055556,91.19174212428616,61.348872365953575,58.64595269097222,0.2662141927083333,0.0025151909722222,0.1110134548611111,,,0.0833,0.6258,0.3142,0.0
4uATxr4eGZk,https://www.youtube.com/watch?v=4uATxr4eGZk,russian,1,120.87356770833334,153.96019205729166,69.35262924560539,70.01704777967164,58.201778428819445,0.2620876736111111,0.1459201388888888,0.0526302083333333,,,0.3333,0.5615,0.1892,1.0
U-huNDG64zc,https://www.youtube.com/watch?v=U-huNDG64zc,russian,1,50.37626736111111,181.1265093315972,63.41661412578347,47.58526969423829,78.50404296875,0.2552061631944444,0.0137250434027777,0.0007454427083333,,,0.0833,0.6506,0.6238,0.0
aIGz57tkaxE,https://www.youtube.com/watch?v=aIGz57tkaxE,russian,1,2.3262847222222223,181.46309678819443,22.00047404394997,92.68778802613244,1.4773285590277778,0.0065907118055555,0.0030284288194444,0.0002430555555555,,,0.1042,0.8706,0.5556,0.0
ghncuOlO50Q,https://www.youtube.com/watch?v=ghncuOlO50Q,kyrgyz,1,91.05017252604166,145.87379231770834,63.99406157237087,78.86245292634618,88.85083224826388,0.0630870225694444,0.5252072482638889,0.0207682291666666,,,0.1875,0.6667,0.7245,0.0
HkzFDcO7Qok,https://www.youtube.com/watch?v=HkzFDcO7Qok,russian,1,126.61579282407408,65.73059606481482,94.20610202715916,72.63908336382262,86.00343171296296,0.0958796296296296,0.4903645833333333,0.0023032407407407,,,0.1458,0.4269,0.3223,0.0
svpYDD_VAG4,https://www.youtube.com/watch?v=svpYDD_VAG4,english,1,181.451279296875,171.81330403645833,79.95703331836629,64.92127679961743,32.60185221354167,0.7528135850694444,0.0053700086805555,0.0367306857638888,,,0.625,0.5469,0.2037,1.0
tD_-d87uO7k,https://www.youtube.com/watch?v=tD_-d87uO7k,russian,1,79.34222439236112,76.548134765625,52.75245866357394,71.66484718418948,64.48276909722222,0.2564474826388889,0.3663487413194444,0.0013498263888888,,,0.0417,0.475,0.1962,0.0
NN6HgMUM_x8,https://www.youtube.com/watch?v=NN6HgMUM_x8,english,1,98.5149363425926,128.9465625,95.66756664093772,98.53575735623554,56.13295138888889,0.2477546296296296,0.0928298611111111,0.0088136574074074,,,0.2917,0.721,0.5885,0.0
LYQ9tapld4M,https://www.youtube.com/watch?v=LYQ9tapld4M,other,1,119.30609953703704,60.78536458333333,87.6575553451723,67.3245953311197,67.25332175925926,0.4374074074074074,0.0204456018518518,0.1058969907407407,,,0.1042,0.4357,0.0,0.0
XPnKmwoiGqA,https://www.youtube.com/watch?v=XPnKmwoiGqA,russian,0,,,,,,,,,,,,,,
fo-zlKL5XSs,https://www.youtube.com/watch?v=fo-zlKL5XSs,kyrgyz,0,,,,,,,,,,,,,,
414jqvZfnEI,https://www.youtube.com/watch?v=414jqvZfnEI,russian,1,87.98749240451389,170.32071723090277,54.48737052659146,58.82476357747347,97.56572374131945,0.1506716579861111,0.4455729166666666,0.0001226128472222,,,0.1458,0.5886,0.4306,0.0
D8a9kRTf1ak,https://www.youtube.com/watch?v=D8a9kRTf1ak,russian,1,82.81111762152777,191.0393858506945,46.8034325479819,31.70818081935355,56.596430121527774,0.1161197916666666,0.023271484375,0.1658832465277777,,,0.0833,0.6099,0.1429,0.0
U6czGlnjKEQ,https://www.youtube.com/watch?v=U6czGlnjKEQ,english,1,143.38626627604165,196.152548828125,53.75749445866473,60.42169634517308,93.66218315972222,0.1035101996527777,0.0427267795138888,0.3514995659722222,,,0.1042,0.6927,0.2836,0.0
-Cvn2cwNrS8,https://www.youtube.com/watch?v=-Cvn2cwNrS8,russian,1,128.75449652777775,170.43205078125,69.68764951844939,84.54258698162738,63.015278862847225,0.348701171875,0.1347037760416666,0.1111382378472222,,,0.0833,0.6978,0.8628,0.0
69vjOlF_ftM,https://www.youtube.com/watch?v=69vjOlF_ftM,other,1,71.18230360243055,97.08281141493056,50.57800146070808,77.36220822755907,35.32688259548611,0.1867154947916666,0.0220876736111111,0.0766775173611111,,,0.25,0.5722,0.2355,0.0
_YQCIPUSyNU,https://www.youtube.com/watch?v=_YQCIPUSyNU,other,1,149.42828776041668,103.78596245659722,100.00375352405445,87.62322376570579,101.83786892361113,0.2689615885416667,0.3737174479166666,0.0528689236111111,,,0.0208,0.538,1.412,0.0
