video_id,url,language,thumbnail_found,mean_saturation,mean_luminance,saturation_std,luminance_std,mean_hue,red_ratio,blue_ratio,yellow_ratio,text_overlay,n_text_chars
tZHVXqAkp6E,https://www.youtube.com/watch?v=tZHVXqAkp6E,russian,0,,,,,,,,,,
HXVORQAiQ5c,https://www.youtube.com/watch?v=HXVORQAiQ5c,russian,0,,,,,,,,,,
XHeRLTLGsoA,https://www.youtube.com/watch?v=XHeRLTLGsoA,other,1,91.67445023148149,77.47123842592593,89.65032311805848,66.01009072758839,86.2245138888889,0.33869791666666665,0.03163194444444444,0.010283564814814815,,
uXAtWZ7RNAc,https://www.youtube.com/watch?v=uXAtWZ7RNAc,english,1,63.95324110243055,181.67226128472223,93.4270557848453,68.45374636317544,32.43174153645833,0.17582682291666665,0.0803493923611111,0.027217881944444446,,
QXglaxD5fag,https://www.youtube.com/watch?v=QXglaxD5fag,russian,1,102.39647786458333,166.2515158420139,103.84339032901956,86.23144748371743,42.34044921875,0.013876953125,0.04380316840277778,0.116650390625,,
zncjz5HuQmo,https://www.youtube.com/watch?v=zncjz5HuQmo,kyrgyz,1,158.10763671875,96.05053602430556,52.722864871979404,49.41258189025985,128.62512478298612,0.025228949652777777,0.556982421875,0.0,,
xadxg5GdDHo,https://www.youtube.com/watch?v=xadxg5GdDHo,other,1,192.67145616319445,223.01924913194443,69.44179205848965,56.7721572716457,79.41240125868056,0.08907443576388889,0.3474175347222222,0.17851671006944445,,
RJJ3j1dfD8s,https://www.youtube.com/watch?v=RJJ3j1dfD8s,russian,1,174.06287543402777,153.95883572048612,77.19734204445388,76.29844183112782,66.96522026909722,0.14729817708333334,0.011102430555555556,0.14212565104166666,,
5yvC5VtwgqI,https://www.youtube.com/watch?v=5yvC5VtwgqI,russian,1,59.078441840277776,71.31556098090277,54.25885399700831,52.44751267264106,64.18778971354166,0.40776692708333334,0.008346354166666667,0.005109592013888889,,
EbTK_tle0KM,https://www.youtube.com/watch?v=EbTK_tle0KM,other,1,99.14535807291666,142.60535481770833,86.6299271683111,80.86990379367651,38.14653537326389,0.12567491319444443,0.03184895833333334,0.10217664930555556,,
JVtJbWeIU68,https://www.youtube.com/watch?v=JVtJbWeIU68,english,1,104.3258083767361,205.58931749131943,78.49612522607437,60.87969927738224,69.497578125,0.28646375868055557,0.21058268229166666,0.119462890625,,
r7bJyF4uyrQ,https://www.youtube.com/watch?v=r7bJyF4uyrQ,other,1,71.72798394097222,94.84557183159723,57.456260729537355,65.95323145859821,61.39094401041667,0.11027994791666666,0.225634765625,0.05092447916666667,,
gtTPHqB4dHc,https://www.youtube.com/watch?v=gtTPHqB4dHc,russian,1,152.409248046875,225.71167209201388,77.71363971618604,60.668110831984784,32.289652777777775,0.13508355034722222,0.03218967013888889,0.5526909722222222,,
hM9baCy5p2M,https://www.youtube.com/watch?v=hM9baCy5p2M,english,1,96.33516167534722,129.89423828125,66.28903762223646,80.44268660573026,107.98454752604167,0.5719943576388888,0.014302300347222222,0.01733615451388889,,
dDwL_P9A5D4,https://www.youtube.com/watch?v=dDwL_P9A5D4,russian,1,145.65560546875,169.19186740451389,68.0055659171031,62.49722882785475,51.66704535590278,0.6023936631944444,0.30991536458333335,0.03685872395833333,,
Tq_Fcq-yPVU,https://www.youtube.com/watch?v=Tq_Fcq-yPVU,english,1,158.6295583767361,173.77498589409723,74.83365916230525,45.77570474036197,41.365552300347225,0.058502604166666666,0.004193793402777778,0.04314778645833333,,
Pm2YPsR5EDo,https://www.youtube.com/watch?v=Pm2YPsR5EDo,russian,1,71.97317491319444,181.2232204861111,67.82113525752557,59.27397102014109,34.49260525173611,0.3518250868055556,0.011303168402777777,0.024967447916666666,,
Q6NNOI2z54g,https://www.youtube.com/watch?v=Q6NNOI2z54g,kyrgyz,1,131.81694878472223,184.36133680555557,91.19174212428616,61.348872365953575,58.64595269097222,0.26621419270833335,0.002515190972222222,0.11101345486111111,,
4uATxr4eGZk,https://www.youtube.com/watch?v=4uATxr4eGZk,russian,1,120.87356770833334,153.96019205729166,69.35262924560539,70.01704777967164,58.201778428819445,0.2620876736111111,0.14592013888888888,0.05263020833333333,,
U-huNDG64zc,https://www.youtube.com/watch?v=U-huNDG64zc,russian,1,50.37626736111111,181.12650933159722,63.41661412578347,47.58526969423829,78.50404296875,0.25520616319444445,0.013725043402777777,0.0007454427083333333,,
aIGz57tkaxE,https://www.youtube.com/watch?v=aIGz57tkaxE,russian,1,2.3262847222222223,181.46309678819443,22.00047404394997,92.68778802613245,1.4773285590277778,0.006590711805555555,0.0030284288194444443,0.00024305555555555555,,
ghncuOlO50Q,https://www.youtube.com/watch?v=ghncuOlO50Q,kyrgyz,1,91.05017252604166,145.87379231770834,63.99406157237087,78.86245292634618,88.85083224826388,0.06308702256944444,0.5252072482638889,0.020768229166666666,,
HkzFDcO7Qok,https://www.youtube.com/watch?v=HkzFDcO7Qok,russian,1,126.61579282407408,65.73059606481482,94.20610202715916,72.63908336382262,86.00343171296296,0.09587962962962963,0.4903645833333333,0.0023032407407407407,,
svpYDD_VAG4,https://www.youtube.com/watch?v=svpYDD_VAG4,english,1,181.451279296875,171.81330403645833,79.95703331836629,64.92127679961743,32.60185221354167,0.7528135850694444,0.005370008680555555,0.03673068576388889,,
tD_-d87uO7k,https://www.youtube.com/watch?v=tD_-d87uO7k,russian,1,79.34222439236112,76.548134765625,52.75245866357394,71.66484718418948,64.48276909722222,0.2564474826388889,0.36634874131944445,0.001349826388888889,,
NN6HgMUM_x8,https://www.youtube.com/watch?v=NN6HgMUM_x8,english,1,98.51493634259259,128.9465625,95.66756664093772,98.53575735623554,56.13295138888889,0.24775462962962963,0.0928298611111111,0.008813657407407407,,
LYQ9tapld4M,https://www.youtube.com/watch?v=LYQ9tapld4M,other,1,119.30609953703704,60.78536458333333,87.6575553451723,67.3245953311197,67.25332175925926,0.4374074074074074,0.02044560185185185,0.10589699074074074,,
XPnKmwoiGqA,https://www.youtube.com/watch?v=XPnKmwoiGqA,russian,0,,,,,,,,,,
fo-zlKL5XSs,https://www.youtube.com/watch?v=fo-zlKL5XSs,kyrgyz,0,,,,,,,,,,
414jqvZfnEI,https://www.youtube.com/watch?v=414jqvZfnEI,russian,1,87.98749240451389,170.32071723090277,54.48737052659146,58.82476357747347,97.56572374131945,0.15067165798611112,0.44557291666666665,0.00012261284722222223,,
D8a9kRTf1ak,https://www.youtube.com/watch?v=D8a9kRTf1ak,russian,1,82.81111762152777,191.03938585069446,46.8034325479819,31.70818081935355,56.596430121527774,0.11611979166666667,0.023271484375,0.16588324652777778,,
U6czGlnjKEQ,https://www.youtube.com/watch?v=U6czGlnjKEQ,english,1,143.38626627604165,196.152548828125,53.75749445866473,60.42169634517308,93.66218315972222,0.10351019965277777,0.04272677951388889,0.3514995659722222,,
-Cvn2cwNrS8,https://www.youtube.com/watch?v=-Cvn2cwNrS8,russian,1,128.75449652777777,170.43205078125,69.68764951844939,84.54258698162738,63.015278862847225,0.348701171875,0.13470377604166667,0.11113823784722222,,
69vjOlF_ftM,https://www.youtube.com/watch?v=69vjOlF_ftM,other,1,71.18230360243055,97.08281141493056,50.57800146070808,77.36220822755907,35.32688259548611,0.18671549479166666,0.022087673611111112,0.07667751736111111,,
_YQCIPUSyNU,https://www.youtube.com/watch?v=_YQCIPUSyNU,other,1,149.42828776041668,103.78596245659722,100.00375352405445,87.62322376570579,101.83786892361111,0.2689615885416667,0.37371744791666667,0.05286892361111111,,
xmscFnZrL5Q,https://www.youtube.com/watch?v=xmscFnZrL5Q,kyrgyz,1,33.86276475694444,67.93260416666666,45.58289825255353,33.68017877293185,47.04762369791667,0.025042317708333334,0.09738606770833333,0.0100390625,,
elYzt0wRTNA,https://www.youtube.com/watch?v=elYzt0wRTNA,other,1,118.97954535590277,180.19140516493056,76.73896627315077,79.34210126755332,52.76873046875,0.3696017795138889,0.313037109375,0.03589192708333333,,
rGJYHO45JWM,https://www.youtube.com/watch?v=rGJYHO45JWM,russian,1,187.62210828993057,201.46805555555557,74.78170358245394,60.78977767544678,86.16713650173611,0.24181966145833333,0.4692881944444444,0.012162543402777778,,
a9sBme8Edhk,https://www.youtube.com/watch?v=a9sBme8Edhk,other,1,68.32274088541666,86.58294379340278,16.57196907634721,46.39291477046956,19.07816623263889,0.14300672743055556,0.00014105902777777776,0.04565863715277778,,
DYccpNshI34,https://www.youtube.com/watch?v=DYccpNshI34,other,1,125.10872178819444,34.673174913194444,102.44882422224615,51.35693501275462,58.66805881076389,0.0015928819444444445,0.0400390625,0.0006174045138888889,,
uMWTps8k924,https://www.youtube.com/watch?v=uMWTps8k924,russian,1,82.92375,51.47831018518519,77.90758411598549,57.583975449998306,66.4449537037037,0.14971064814814813,0.3215046296296296,0.0061342592592592594,,
